doc_key,no_error,decision_type,detailed_error_type,mention_ind,entity_ind,entity_len,category,type,antecedent_ind,antecedent_dist,antecedent_dist_ent,antecedent_category,mapped_antecedent_ind,mapped_antecedent_dist,mapped_antecedent_dist_ent,mapped_antecedent_category,mapped_antecedent_type,cluster_pron-pron-comp,cluster_pron-pron-no-comp,cluster_pron-ent,cluster_match,cluster_contain,cluster_other,mapped_cluster_pron-pron-comp,mapped_cluster_pron-pron-no-comp,mapped_cluster_pron-ent,mapped_cluster_match,mapped_cluster_contain,mapped_cluster_other,cluster_size,cluster_errors,mapped_cluster_type,mapped_cluster_size,mapped_cluster_errors,cluster_props,cluster_prons,cluster_noms,mapped_cluster_props,mapped_cluster_prons,mapped_cluster_noms,entity_score,wrong_score,wrong_mean_score,num_wrong_inst,entropy,prob,mention_str,cluster_str,cluster_final_size,mapped_cluster_str,mapped_cluster_final_size,prob_str
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,28,22,22,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37693616219011405,0.9405822157859802,the distant monarchs of Europe,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,29,23,23,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5973517479932755,0.8968804478645325,Europe,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,30,24,24,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3262800345253982,0.9545547366142273,no district throughout the wide extent of the intermediate frontiers,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,31,25,25,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3935520853516794,0.6019170880317688,the wide extent of the intermediate frontiers,,,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,32,26,26,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5778082513125564,0.9091936349868774,the intermediate frontiers,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,33,27,27,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1391893095081629,0.7897636890411377,the country which lies between the head waters of the Hudson and the adjacent lakes,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,34,28,28,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5782643758136927,0.9123713970184326,the head waters of the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,35,29,29,PROP,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5789003175841427,0.9142375588417053,the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,36,30,30,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5313900359121728,0.9226439595222473,the adjacent lakes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,37,31,31,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924360481884931,0.831071674823761,nature,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,38,27,32,NOM,LOC,33.0,4.0,4.0,NOM,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.179715156555176,,,,0.619164929914598,0.8906203508377075,there,"the country which lies between the head waters of the Hudson and the adjacent lakes_1
",2.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,39,32,32,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46094889841842873,0.9353699088096619,the combatants,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,40,33,33,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.490596227189445,0.2924744188785553,The lengthened sheet of the Champlain,,,,,0.3
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,41,34,34,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0684223445417604,0.5439949035644531,the Champlain,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,42,35,35,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7294601475279053,0.8725284337997437,Canada,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,43,36,36,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3330291664195062,0.6889433860778809,the borders of the neighboring province of New York,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,44,37,37,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551766686684288,0.9200425148010254,the neighboring province of New York,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,45,38,38,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0547961068073803,0.7909097671508789,New York,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,46,39,39,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9527424959796433,0.8429538607597351,a natural passage across half the distance that the French were compelled to master in order to strike their enemies,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,47,40,40,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.083659547188664,0.8034281134605408,half the distance that the French were compelled to master in order to strike their enemies,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,48,41,41,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6728959917156117,0.8707820773124695,the French,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,49,41,42,PRON,GPE,48.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.184775352478027,,,,0.8046612720900697,0.8754774928092957,their,"the French_1
",5.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,50,42,42,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5272831070845562,0.9276252388954163,their enemies,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,51,33,43,PRON,LOC,40.0,10.0,9.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.245758056640625,,,,1.3604921103021335,0.7255138158798218,its,"The lengthened sheet of the Champlain_1
",3.0,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,52,43,43,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0294287112003566,0.33645203709602356,its southern termination,,,,,0.3
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,53,33,44,PRON,LOC,51.0,1.0,1.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,6.280289649963379,,,,0.32983021536809587,0.9485447406768799,it,"The lengthened sheet of the Champlain_1
its_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,54,44,44,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3527133757660474,0.6791602969169617,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”",,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,55,45,45,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5744821799638212,0.9209991693496704,the Jesuit missionaries,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,56,44,46,PRON,LOC,54.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,-0.592902660369873,0.0,0.0,1.0,3.0899207344432673,0.2557692527770996,it,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
",15.0,,,0.3
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,57,44,46,NOM,LOC,56.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,,,,,,2.0,1.0,,,,0.0,0.5,0.5,,,,-0.3038063049316406,0.0,0.0,1.0,1.1274336182530194,0.5353543162345886,lake “ du Saint Sacrement . ”,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
",15.0,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,58,46,46,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4601294997058074,0.9390022158622742,The less zealous English,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,59,46,47,PRON,PER,58.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.2683401107788086,,,,0.7323252896442938,0.8848857283592224,they,"The less zealous English_1
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,60,44,47,PRON,LOC,57.0,2.0,1.0,NOM,,,,,,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,,,,,,,3.0,2.0,,,,0.0,0.3333333333333333,0.6666666666666666,,,,2.8760879039764404,,,,1.1285089598971494,0.7939096093177795,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
",15.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,61,47,47,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1603267367988814,0.7779297828674316,its unsullied fountains,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,62,46,48,PRON,PER,59.0,2.0,2.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.577021598815918,,,,0.4089966168861609,0.9464712738990784,they,"The less zealous English_1
they_1
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,63,46,48,PRON,PER,62.0,0.0,0.0,PRON,,,,,,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,,,,,,,3.0,0.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,4.6061506271362305,,,,0.45027731463952025,0.938991129398346,their,"The less zealous English_1
they_2
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,64,48,48,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8924043849209151,0.8664579391479492,their reigning prince,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,o,o_c,65,49,49,NOM,PER,,,,,64.0,0.0,0.0,NOM,PER,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,PER,1.0,0.0,,,,0.0,0.0,1.0,,1.8405064344406128,1.8405064344406128,1.0,0.6736117408525077,0.8320596814155579,the second of the house of Hanover,,,"their reigning prince_1
",1.0,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,66,50,50,NOM,FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9953536177494895,0.8436285853385925,the house of Hanover,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,67,51,51,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0940510805698642,0.8173806667327881,Hanover,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,68,52,52,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6639225102858193,0.8977763056755066,The two,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,69,53,53,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9772340989224546,0.8443174362182617,the untutored possessors of its wooded scenery,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,70,44,54,PRON,LOC,60.0,9.0,8.0,PRON,53.0,16.0,10.0,PRON,LOC,0.5,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,4.0,2.0,LOC,3.0,0.0,0.0,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,2.282498598098755,4.084371089935303,4.084371328353882,1.0,1.7592930549697343,0.6242109537124634,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_1
",15.0,"The lengthened sheet of the Champlain_1
its_1
it_1
",3.0,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,71,54,54,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0643976095516203,0.5287708640098572,its wooded scenery,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,72,53,55,PRON,PER,69.0,2.0,2.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.8868138790130615,,,,0.7573185896105771,0.8632572293281555,their,"the untutored possessors of its wooded scenery_1
",2.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,73,44,55,PRON,LOC,70.0,2.0,2.0,PRON,,,,,,0.6,0.0,0.4,0.0,0.0,0.0,,,,,,,5.0,3.0,,,,0.0,0.6,0.4,,,,4.20112419128418,,,,1.2193823115212998,0.7413983345031738,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_2
",15.0,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,74,44,55,PROP,LOC,73.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,,,6.0,3.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,-1.2664200067520142,0.0,0.0,1.0,1.6601830291494903,0.6148268580436707,Horican,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
",15.0,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,75,55,55,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7212923049722479,0.8997084498405457,each nation of the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,76,56,56,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7180820286874885,0.9004697799682617,the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,77,55,57,PRON,GPE,75.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.805856704711914,,,,0.49639134519171235,0.9317148327827454,its,"each nation of the Indians_1
",5.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,78,55,57,PRON,GPE,77.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.101651191711426,,,,0.2965676917231046,0.9621413350105286,its,"each nation of the Indians_1
its_1
",5.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,79,55,57,PRON,GPE,78.0,0.0,0.0,PRON,76.0,2.0,1.0,NOM,PER,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,PER,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,2.9295780658721924,4.111508846282959,4.111509084701538,1.0,1.111044010037913,0.6999005079269409,they,"each nation of the Indians_1
its_2
",5.0,"the Indians_1
",1.0,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,80,57,57,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5480584621775153,0.9270910620689392,the same places,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,81,55,58,PRON,GPE,79.0,1.0,1.0,PRON,,,,,,0.25,0.5,0.25,0.0,0.0,0.0,,,,,,,4.0,1.0,,,,0.0,0.75,0.25,,,,4.247267246246338,,,,1.4325838461550329,0.5486475825309753,their,"each nation of the Indians_1
its_2
they_1
",5.0,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,82,44,58,NOM,LOC,74.0,7.0,3.0,PROP,53.0,28.0,14.0,PRON,LOC,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,7.0,4.0,LOC,3.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,-0.09404498338699341,5.922931671142578,2.0467763940493264,3.0,0.12539695925297184,0.9844642281532288,this beautiful sheet of water,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
Horican_1
",15.0,"The lengthened sheet of the Champlain_1
its_1
it_1
",3.0,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,83,58,58,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5800041797045845,0.7132575511932373,the tribe that dwelt on its banks,,,,,0.7
