doc_key,no_error,decision_type,detailed_error_type,mention_ind,entity_ind,entity_len,category,type,antecedent_ind,antecedent_dist,antecedent_dist_ent,antecedent_category,mapped_antecedent_ind,mapped_antecedent_dist,mapped_antecedent_dist_ent,mapped_antecedent_category,mapped_antecedent_type,cluster_pron-pron-comp,cluster_pron-pron-no-comp,cluster_pron-ent,cluster_match,cluster_contain,cluster_other,mapped_cluster_pron-pron-comp,mapped_cluster_pron-pron-no-comp,mapped_cluster_pron-ent,mapped_cluster_match,mapped_cluster_contain,mapped_cluster_other,cluster_size,cluster_errors,mapped_cluster_type,mapped_cluster_size,mapped_cluster_errors,cluster_props,cluster_prons,cluster_noms,mapped_cluster_props,mapped_cluster_prons,mapped_cluster_noms,entity_score,wrong_score,wrong_mean_score,num_wrong_inst,entropy,prob,mention_str,cluster_str,cluster_final_size,mapped_cluster_str,mapped_cluster_final_size,prob_str
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,17,14,14,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35787333745996697,0.9445375204086304,the streams,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,18,15,15,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35341861216454906,0.9433497190475464,the rugged passes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,19,16,16,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4206381633207906,0.9311498403549194,the rugged passes of the mountains,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,20,17,17,PRON,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1896511847451765,0.4649387300014496,their,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,21,18,18,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36997828265939653,0.9451098442077637,the practiced native warriors,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,22,17,19,PRON,PER,20.0,1.0,1.0,PRON,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,,,5.807836532592773,,,,0.2125430793113483,0.9715132713317871,they,"their_1
",2.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,23,19,19,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31034185557952376,0.9543483257293701,no recess of the woods,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,24,20,20,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43197364715434516,0.9340015649795532,the woods,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,25,21,21,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4930530923997507,0.9241549372673035,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe",,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,26,21,22,PRON,PER,25.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.015251874923706,,,,0.6445032479624684,0.8796253800392151,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,27,21,22,PRON,PER,26.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,4.468620300292969,,,,0.431518620724296,0.9347896575927734,their,"those who had pledged their blood to satiate their vengeance , or to uphold the cold and selfish policy of the distant monarchs of Europe_1
their_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,28,22,22,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4243671372886717,0.9357495307922363,the distant monarchs of Europe,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,29,23,23,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5340721831702473,0.9175945520401001,Europe,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,30,24,24,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2957611295780196,0.9588669538497925,no district throughout the wide extent of the intermediate frontiers,,,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,31,25,25,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8088704163777423,0.8322294354438782,the wide extent of the intermediate frontiers,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,32,26,26,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46363724806391904,0.9326581358909607,the intermediate frontiers,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,33,27,27,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7847658296408824,0.8743149042129517,the country which lies between the head waters of the Hudson and the adjacent lakes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,34,28,28,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4972431322875873,0.9276307821273804,the head waters of the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,35,29,29,PROP,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7169481638694386,0.8892577886581421,the Hudson,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,36,30,30,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5540170537918994,0.9189351797103882,the adjacent lakes,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,37,31,31,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442506734606921,0.8277537226676941,nature,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,38,27,32,NOM,LOC,33.0,4.0,4.0,NOM,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.4644339084625244,,,,0.6610083795362325,0.8883457183837891,there,"the country which lies between the head waters of the Hudson and the adjacent lakes_1
",2.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,39,32,32,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6488026204094556,0.9034009575843811,the combatants,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,40,33,33,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.113369488167557,0.5487623810768127,The lengthened sheet of the Champlain,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,41,34,34,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7649978396633847,0.3586826026439667,the Champlain,,,,,0.4
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,42,35,35,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7268442748736293,0.8779804706573486,Canada,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,43,36,36,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9593193056944013,0.8245857357978821,the borders of the neighboring province of New York,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,44,37,37,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5232381087545285,0.9267136454582214,the neighboring province of New York,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,45,38,38,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951791637744019,0.8228199481964111,New York,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,46,39,39,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0820622885431361,0.8230501413345337,a natural passage across half the distance that the French were compelled to master in order to strike their enemies,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,47,40,40,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1213052365564726,0.801416277885437,half the distance that the French were compelled to master in order to strike their enemies,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,48,41,41,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.720453533351322,0.8936578631401062,the French,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,49,41,42,PRON,GPE,48.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,4.304920673370361,,,,1.2896493719860698,0.7795475125312805,their,"the French_1
",5.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,50,42,42,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6377451959926925,0.9094513058662415,their enemies,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,51,33,43,PRON,LOC,40.0,10.0,9.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,5.695452690124512,,,,0.897883212702949,0.8353655338287354,its,"The lengthened sheet of the Champlain_1
",3.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,52,43,43,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.188209744529736,0.43153366446495056,its southern termination,,,,,0.4
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,53,33,44,PRON,LOC,51.0,1.0,1.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.973904132843018,,,,0.6483823590978829,0.8969051837921143,it,"The lengthened sheet of the Champlain_1
its_1
",3.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,54,44,44,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5492060085719672,0.6905355453491211,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”",,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,55,45,45,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7680597728164636,0.8879472613334656,the Jesuit missionaries,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,56,44,46,PRON,LOC,54.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,0.17710818350315094,,,,3.3946836455182936,0.16815806925296783,it,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
",15.0,,,0.2
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_o,57,44,46,NOM,LOC,56.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.5,0.0,0.5,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,-3.8593132495880127,0.0,0.0,1.0,0.7302800588455285,0.8902168869972229,lake “ du Saint Sacrement . ”,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
",15.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,58,46,46,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5186122117927155,0.9302891492843628,The less zealous English,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,59,46,47,PRON,PER,58.0,0.0,0.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,3.6633031368255615,,,,1.0245411693086925,0.8406862020492554,they,"The less zealous English_1
",4.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,60,44,47,PRON,LOC,57.0,2.0,1.0,NOM,,,,,,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,,,,,,,3.0,1.0,,,,0.0,0.3333333333333333,0.6666666666666666,,,,5.5517683029174805,,,,0.5953977738658447,0.9156286716461182,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
",15.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,61,47,47,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4482448386225286,0.652077317237854,its unsullied fountains,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,62,46,48,PRON,PER,59.0,2.0,2.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,5.1224365234375,,,,0.6763594744344323,0.9051928520202637,they,"The less zealous English_1
they_1
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,63,46,48,PRON,PER,62.0,0.0,0.0,PRON,,,,,,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,,,,,,,3.0,0.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,4.144084930419922,,,,0.8810978647892467,0.8683735132217407,their,"The less zealous English_1
they_2
",4.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,64,48,48,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6619742119300671,0.9073994159698486,their reigning prince,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,65,49,49,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4791783629984703,0.6436806321144104,the second of the house of Hanover,,,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,66,50,50,NOM,FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8342629627504412,0.8791437149047852,the house of Hanover,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,67,51,51,PROP,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0441505168249494,0.8393903970718384,Hanover,,,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,68,52,52,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5997518896814112,0.9094056487083435,The two,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,69,53,53,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736805967615394,0.8968443870544434,the untutored possessors of its wooded scenery,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,70,44,54,PRON,LOC,60.0,9.0,8.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,4.0,1.0,,,,0.0,0.5,0.5,,,,2.844064474105835,,,,3.2075777630344233,0.19825798273086548,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_1
",15.0,,,0.2
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,71,54,54,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.330404035727756,0.48735013604164124,its wooded scenery,,,,,0.5
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,72,53,55,PRON,PER,69.0,2.0,2.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,5.109835624694824,,,,0.4063627310456708,0.9464229941368103,their,"the untutored possessors of its wooded scenery_1
",2.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,73,44,55,PRON,LOC,70.0,2.0,2.0,PRON,,,,,,0.6,0.0,0.4,0.0,0.0,0.0,,,,,,,5.0,1.0,,,,0.0,0.6,0.4,,,,6.5376152992248535,,,,0.8137203576625117,0.8520122170448303,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_2
",15.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,74,44,55,PROP,LOC,73.0,0.0,0.0,PRON,,,,,,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,,,,,,,6.0,1.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,0.8735448122024536,,,,1.5832486577972151,0.5903317928314209,Horican,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
",15.0,,,0.6
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,75,55,55,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7379334843825536,0.8975352048873901,each nation of the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,76,56,56,NOM,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9106439377390256,0.8678078055381775,the Indians,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,77,55,57,PRON,GPE,75.0,1.0,1.0,NOM,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,1.0,0.0,,,,0.0,0.0,1.0,,,,6.102939128875732,,,,0.5007403981572641,0.9305503368377686,its,"each nation of the Indians_1
",5.0,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,78,55,57,PRON,GPE,77.0,0.0,0.0,PRON,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,2.0,0.0,,,,0.0,0.5,0.5,,,,6.622238636016846,,,,0.25403555265180294,0.9681365489959717,its,"each nation of the Indians_1
its_1
",5.0,,,1.0
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,79,55,57,PRON,GPE,78.0,0.0,0.0,PRON,,,,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,,,,,,,3.0,0.0,,,,0.0,0.6666666666666666,0.3333333333333333,,,,5.495759010314941,,,,1.0268771896402384,0.6610472798347473,they,"each nation of the Indians_1
its_2
",5.0,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,80,57,57,NOM,LOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9556130489144762,0.8598709106445312,the same places,,,,,0.9
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,81,55,58,PRON,GPE,79.0,1.0,1.0,PRON,,,,,,0.25,0.5,0.25,0.0,0.0,0.0,,,,,,,4.0,0.0,,,,0.0,0.75,0.25,,,,5.825447082519531,,,,0.952381781324601,0.7976201176643372,their,"each nation of the Indians_1
its_2
they_1
",5.0,,,0.8
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,0,c,c_c,82,44,58,NOM,LOC,74.0,7.0,3.0,PROP,53.0,28.0,14.0,PRON,LOC,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,7.0,1.0,LOC,3.0,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.6666666666666666,0.3333333333333333,-0.739496111869812,2.477356195449829,1.2386780977249146,2.0,1.7088066514474307,0.6900965571403503,this beautiful sheet of water,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
Horican_1
",15.0,"The lengthened sheet of the Champlain_1
its_1
it_1
",3.0,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,o,,83,58,58,NOM,GPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.623899543752543,0.7295323610305786,the tribe that dwelt on its banks,,,,,0.7
940_the_last_of_the_mohicans_a_narrative_of_1757_brat_0,1,c,,84,44,59,PRON,LOC,82.0,1.0,1.0,NOM,,,,,,0.5,0.0,0.5,0.0,0.0,0.0,,,,,,,8.0,2.0,,,,0.125,0.5,0.375,,,,4.152973175048828,,,,2.1860879537025912,0.6018821001052856,its,"another lake , whose waters were so limpid as to have been exclusively selected by the Jesuit missionaries to perform the typical purification of baptism , and to obtain for it the title of lake “ du Saint Sacrement . ”_1
it_1
lake “ du Saint Sacrement . ”_1
its_3
Horican_1
this beautiful sheet of water_1
",15.0,,,0.6
